"game_id","date","Team","Opponent","Team_Score","Opponent_Score","Location","ADJO","ADJD","EFF","EFG_pct","TO_Pct","OR_Pct","FTR_Pct","ThreePointer_Pct","opp_ADJO","opp_ADJD","Opp_EFF","Opp_EFG_Pct","Opp_TO_Pct","Opp_OR_Pct","Opp_FTR_Pct","Opp_ThreePointer_Pct"
"PittsburghMississippi St.12-4",2024-12-04,"Pittsburgh","Pittsburgh",57,90,"A",94.8,114.9,84.2,37.5,16.3,29.8,20.3,30.77,94.8,114.9,84.2,37.5,16.3,29.8,20.3,30.77
"PittsburghOhio St.11-29",2024-11-29,"Pittsburgh","Pittsburgh",91,90,"A",132.4,109.8,120.5,50.7,14.6,43.2,44.8,33.33,132.4,109.8,120.5,50.7,14.6,43.2,44.8,33.33
"PittsburghSyracuse1-25",2025-01-25,"Pittsburgh","Syracuse",77,73,"A",120.1,111.5,119.2,50.8,4.6,24.3,34.4,33.33,116.4,108.9,113,48.5,17,47.6,19.4,34.38
"PittsburghVirginia Tech12-7",2024-12-07,"Pittsburgh","Virginia Tech",64,59,"A",96.1,89.1,98.4,46.4,18.5,29,21.4,21.43,95.3,88.2,90.8,50.9,26.1,26.7,13.2,32
"PittsburghWake Forest2-1",2025-02-01,"Pittsburgh","Wake Forest",74,76,"A",127.3,117.1,113.9,48.2,12.3,25,35.7,33.33,119.6,104.7,117,60.9,16.9,13,47.8,42.11
"PittsburghWisconsin11-24",2024-11-24,"Pittsburgh","Pittsburgh",75,81,"N",122.6,98.5,109.8,54.2,11.7,17.2,21.7,21.74,122.6,98.5,109.8,54.2,11.7,17.2,21.7,21.74
"Prairie View A&MSMU11-18",2024-11-18,"SMU","SMU",110,69,"H",114.9,103,136.1,58.1,17.3,56.1,41.9,48,114.9,103,136.1,58.1,17.3,56.1,41.9,48
"PresbyterianMiami FL12-15",2024-12-15,"Miami FL","Miami FL",94,75,"H",134.9,120.9,146.7,74,14,30,42.3,50,134.9,120.9,146.7,74,14,30,42.3,50
"RadfordClemson11-21",2024-11-21,"Clemson","Clemson",79,51,"H",113.1,82.9,123,62.2,17.1,23.1,44.9,47.83,113.1,82.9,123,62.2,17.1,23.1,44.9,47.83
"RadfordPittsburgh11-4",2024-11-04,"Pittsburgh","Pittsburgh",96,56,"H",121.6,86.4,135.7,61.5,11.3,33.3,32.3,34.78,121.6,86.4,135.7,61.5,11.3,33.3,32.3,34.78
"SMUBoston College12-21",2024-12-21,"SMU","Boston College",103,77,"A",133,112.1,143.9,73.7,14,34.8,33.9,68.75,121.2,126,107.6,43.4,22.4,46.5,54.1,41.18
"SMUButler11-15",2024-11-15,"SMU","SMU",70,81,"A",105.3,105.7,100.8,43.8,15.8,40.5,27.7,33.33,105.3,105.7,100.8,43.8,15.8,40.5,27.7,33.33
"SMUMiami FL1-18",2025-01-18,"SMU","Miami FL",117,74,"A",153.4,100.4,167.7,80,11.5,54.5,26.2,56,113.4,153.6,106.1,50,17.2,25,39.3,28.57
"SMUN.C. State1-25",2025-01-25,"SMU","SMU",63,57,"A",102.5,84.2,96.7,49.1,23,30,22.6,37.5,102.5,84.2,96.7,49.1,23,30,22.6,37.5
"SMUNorth Carolina1-7",2025-01-07,"SMU","North Carolina",67,82,"A",94.1,101.2,89.1,36.2,14.6,31.9,30.4,22.22,116.8,80.6,109.1,57,18.6,21.2,42.1,50
"SMUVirginia1-15",2025-01-15,"SMU","Virginia",54,52,"A",94,81.2,88.2,48.1,19.6,24.2,13.2,23.81,88,82.7,84.9,38.5,13.1,13.9,28.8,15.38
"SMUWashington St.11-27",2024-11-27,"SMU","SMU",77,60,"N",118.3,97.3,122.1,46.2,14.3,56.4,28.8,33.33,118.3,97.3,122.1,46.2,14.3,56.4,28.8,33.33
"Sacramento St.California11-24",2024-11-24,"California","California",83,77,"H",108.9,123.2,116.2,53.8,18.2,35.1,73.6,26.92,108.9,123.2,116.2,53.8,18.2,35.1,73.6,26.92
"Saint FrancisClemson11-8",2024-11-08,"Clemson","Clemson",88,62,"H",113.4,94.8,122.5,69.6,22.3,32,30.4,44.44,113.4,94.8,122.5,69.6,22.3,32,30.4,44.44
"Saint Joseph'sVirginia Tech12-21",2024-12-21,"Virginia Tech","Virginia Tech",62,82,"N",104.1,117,93.4,47.2,18.1,16.7,24.1,31.82,104.1,117,93.4,47.2,18.1,16.7,24.1,31.82
"Sam Houston St.Pittsburgh12-21",2024-12-21,"Pittsburgh","Pittsburgh",110,78,"H",139.2,110,151.3,70.8,13.8,40,35.4,51.61,139.2,110,151.3,70.8,13.8,40,35.4,51.61
"SeattleDuke11-29",2024-11-29,"Duke","Duke",70,48,"H",101.4,74.1,103.1,48.3,19.2,30.8,32.8,27.78,101.4,74.1,103.1,48.3,19.2,30.8,32.8,27.78
"South CarolinaBoston College12-3",2024-12-03,"Boston College","Boston College",51,73,"H",85.2,109.6,77.6,35.1,16.7,26.2,31.6,12.5,85.2,109.6,77.6,35.1,16.7,26.2,31.6,12.5
"South CarolinaVirginia Tech11-27",2024-11-27,"Virginia Tech","Virginia Tech",60,70,"N",103,110,95,45.8,14.3,24.3,15.3,44.44,103,110,95,45.8,14.3,24.3,15.3,44.44
"St. John'sVirginia11-22",2024-11-22,"Virginia","Virginia",55,80,"N",107.5,120.6,87.8,50,25.5,20.7,40,32.14,107.5,120.6,87.8,50,25.5,20.7,40,32.14
"StanfordCalifornia12-7",2024-12-07,"Stanford","California",89,81,"A",138.3,112.8,134.7,62.3,10.6,26.9,35.1,47.83,121.5,131.1,122.6,47.9,10.6,47.6,22.5,38.1
"StanfordClemson1-1",2025-01-01,"Stanford","Clemson",71,85,"A",117,106,102.8,49.2,24.6,40,19.7,30,122,100.9,123.1,55.2,14.5,33.3,41.4,42.11
"StanfordNorth Carolina1-18",2025-01-18,"Stanford","North Carolina",72,71,"A",116.1,97.9,108.2,49.2,12,21.2,23.3,31.82,110.1,101.6,106.7,47.2,7.5,16.7,44.4,27.78
"StanfordPittsburgh1-4",2025-01-04,"Stanford","Pittsburgh",68,83,"A",109.5,110.8,102.7,44.1,16.6,27.3,51,32.14,125.8,99.3,125.3,62.7,22.6,41.7,27.3,36.84
"StanfordSMU2-1",2025-02-01,"Stanford","SMU",61,85,"A",94.3,111.6,88.2,37.7,20.2,41.3,14.5,22.22,126.6,82.7,122.9,63.8,14.5,22.6,31,50
"StanfordSanta Clara11-23",2024-11-23,"Stanford","Stanford",71,69,"A",105,91,101.2,48.4,17.1,35.7,33.3,38.46,105,91,101.2,48.4,17.1,35.7,33.3,38.46
"StanfordWake Forest1-15",2025-01-15,"Stanford","Wake Forest",67,80,"A",118.9,113,100,51.9,19.4,22.2,25.9,33.33,116.2,100,119.4,52.6,9,29,41.4,27.27
"StonehillBoston College12-15",2024-12-15,"Boston College","Boston College",73,69,"H",111.3,118,118.3,54.3,14.6,40,20.7,29.41,111.3,118,118.3,54.3,14.6,40,20.7,29.41
"StonehillNotre Dame11-6",2024-11-06,"Notre Dame","Notre Dame",89,60,"H",118.9,97.5,130.9,59.8,20.6,51.5,36.1,47.83,118.9,97.5,130.9,59.8,20.6,51.5,36.1,47.83
"SyracuseBoston College1-11",2025-01-11,"Syracuse","Boston College",79,71,"A",112.7,105.5,118,53.4,7.5,23.5,37.3,33.33,107.9,115.3,106,46.8,9,26.3,32.3,25
"SyracuseCalifornia2-1",2025-02-01,"Syracuse","California",75,66,"A",117.1,91.8,113.9,53.7,19.7,35.5,37,50,96.1,117.3,100.2,33.3,9.1,35.4,47.6,17.14
"SyracuseClemson1-22",2025-01-22,"Syracuse","Clemson",72,86,"A",121.1,121.6,112.7,64.4,21.9,20,11.5,52.38,135.9,110.4,134.6,64.5,11,29.6,38.2,45
"SyracuseFlorida St.1-4",2025-01-04,"Syracuse","Florida St.",74,90,"A",116.3,119,105.1,52.5,19.9,27,28.8,40,123.8,108.3,127.8,59.8,11.4,27.3,55.4,38.89
"SyracuseNotre Dame12-7",2024-12-07,"Syracuse","Notre Dame",64,69,"A",96,92,94,47.1,19.1,21.9,47.1,0,100.5,94,101.3,53.1,22,27.3,55.1,36.36
"SyracuseStanford1-29",2025-01-29,"Syracuse","Stanford",61,70,"A",94.9,102.9,94.1,53.1,21.6,17.2,28.6,31.58,111,90.3,108,50.9,13.9,22.6,35.2,30.43
"SyracuseTennessee12-3",2024-12-03,"Syracuse","Syracuse",70,96,"A",127.7,121.9,99.7,54.7,15.7,15.6,39.6,31.58,127.7,121.9,99.7,54.7,15.7,15.6,39.6,31.58
"SyracuseTexas Tech11-22",2024-11-22,"Syracuse","Syracuse",74,79,"N",120.3,100.2,109.4,47.2,17.7,32.3,52.8,28.57,120.3,100.2,109.4,47.2,17.7,32.3,52.8,28.57
"SyracuseTexas11-21",2024-11-21,"Syracuse","Syracuse",66,70,"N",102.8,96.2,97.6,50,16.3,22.9,31.6,23.81,102.8,96.2,97.6,50,16.3,22.9,31.6,23.81
